recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,series_complete_5plus,series_complete_5pluspop_pct,fips_code
Baker County,GA,35.7,1085,1078.0,40.7,1017,41.6,314,43.7,59.6,1238.0,40.8,1225.0,46.2,1158.0,47.3,346.0,48.1,C,10.0,11.0,11.0,10.0,Metro,2.0,3.0,3.0,2.0,1238.0,43.2,1085.0,37.9,13007.0
Santa Barbara County,CA,65.5,292460,287585.0,75.6,266675,76.6,62612,89.3,97.5,337180.0,75.5,328565.0,86.4,304599.0,87.5,71297.0,95.0,C,12.0,12.0,12.0,12.0,Metro,4.0,4.0,4.0,4.0,337148.0,80.4,292455.0,69.8,6083.0
Livingston County,NY,56.8,35726,35078.0,62.7,32924,63.5,10251,88.9,97.6,38175.0,60.7,37237.0,66.6,34935.0,67.4,10921.0,94.7,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,38174.0,63.4,35726.0,59.3,36051.0
Burlington County,NJ,70.1,312046,305019.0,78.8,285012,80.7,69495,89.8,93.8,361996.0,81.3,350386.0,90.5,327961.0,92.9,80217.0,95.0,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0,361967.0,85.6,312041.0,73.8,34005.0
Chilton County,AL,34.0,15086,15032.0,40.1,14277,42.2,4891,64.4,92.7,18410.0,41.4,18254.0,48.7,17335.0,51.2,5658.0,74.4,D,14.0,15.0,15.0,15.0,Metro,2.0,3.0,3.0,3.0,18409.0,44.1,15086.0,36.2,1021.0
Iberia Parish,LA,43.5,30377,30241.0,52.2,28505,54.9,8653,79.1,96.8,34966.0,50.1,34529.0,59.6,32324.0,62.2,9063.0,82.8,D,15.0,16.0,16.0,16.0,Metro,3.0,4.0,4.0,4.0,34965.0,53.9,30377.0,46.8,22045.0
Bergen County,NJ,72.2,673330,659576.0,81.7,611585,83.1,143146,86.9,93.8,798748.0,85.7,775543.0,95.0,721916.0,95.0,172160.0,95.0,A,4.0,4.0,4.0,4.0,Metro,4.0,4.0,4.0,4.0,798682.0,90.4,673318.0,76.2,34003.0
Pratt County,KS,46.2,4237,4195.0,54.3,3966,56.8,1453,74.8,93.7,4836.0,52.8,4762.0,61.7,4500.0,64.5,1631.0,83.9,B,7.0,8.0,8.0,8.0,Non-metro,7.0,8.0,8.0,8.0,4836.0,56.2,4237.0,49.3,20151.0
Bracken County,KY,44.6,3703,3672.0,52.1,3486,54.9,1183,82.8,94.0,4067.0,49.0,4006.0,56.9,3799.0,59.8,1279.0,89.6,B,7.0,8.0,8.0,8.0,Metro,3.0,4.0,4.0,4.0,4067.0,52.1,3703.0,47.4,21023.0
Erie County,PA,55.8,150493,147614.0,63.4,138891,65.3,40692,81.0,94.5,168837.0,62.6,164384.0,70.6,154574.0,72.7,44163.0,87.9,C,12.0,12.0,12.0,12.0,Metro,4.0,4.0,4.0,4.0,168830.0,66.3,150492.0,59.1,42049.0
Lackawanna County,PA,65.8,137868,134835.0,74.2,126028,75.6,37648,88.3,94.5,156492.0,74.6,151984.0,83.6,142082.0,85.2,42034.0,95.0,C,12.0,12.0,12.0,12.0,Metro,4.0,4.0,4.0,4.0,156479.0,78.8,137864.0,69.4,42069.0
Burnet County,TX,49.8,23962,23842.0,57.3,22829,60.1,9307,84.6,99.1,27283.0,56.7,27051.0,65.0,25823.0,67.9,10269.0,93.4,C,11.0,12.0,12.0,12.0,Non-metro,7.0,8.0,8.0,8.0,27276.0,59.9,23958.0,52.6,48053.0
Shelby County,TX,33.7,8522,8510.0,40.6,8154,43.6,2772,61.2,99.1,10214.0,40.4,10157.0,48.5,9710.0,51.9,3117.0,68.8,D,14.0,15.0,15.0,15.0,Non-metro,6.0,7.0,7.0,7.0,10208.0,43.5,8520.0,36.3,48419.0
